ITERATION,dist_type,hist_type,num_bins,score
0,chi2,grayvalue,20,0.4157303370786517
0,l2,grayvalue,75,0.38202247191011235
0,chi2,rg,65,0.4157303370786517
0,l2,dxdy,150,0.3146067415730337
0,intersect,dxdy,5,0.3146067415730337
1,chi2,rg,45,0.5280898876404494
1,chi2,rg,60,0.38202247191011235
2,chi2,grayvalue,75,0.3707865168539326
1,chi2,rg,45,0.5280898876404494
2,chi2,rg,10,0.5955056179775281
1,l2,dxdy,5,0.2808988764044944
1,chi2,dxdy,90,0.3707865168539326
3,l2,grayvalue,5,0.4044943820224719
3,chi2,dxdy,85,0.38202247191011235
2,intersect,dxdy,120,0.48314606741573035
2,intersect,dxdy,70,0.4606741573033708
4,chi2,grayvalue,25,0.4157303370786517
2,chi2,dxdy,45,0.3707865168539326
4,chi2,dxdy,100,0.3707865168539326
5,l2,grayvalue,70,0.3146067415730337
3,intersect,rgb,40,0.7865168539325843
3,chi2,rg,10,0.5955056179775281
3,l2,dxdy,110,0.3258426966292135
4,chi2,grayvalue,70,0.3595505617977528
6,l2,rgb,10,0.6067415730337079
4,chi2,rg,150,0.30337078651685395
5,intersect,rg,65,0.797752808988764
7,chi2,dxdy,130,0.3595505617977528
5,l2,rgb,65,0.3146067415730337
5,l2,dxdy,85,0.3595505617977528
6,intersect,dxdy,15,0.47191011235955055
6,intersect,grayvalue,50,0.5056179775280899
7,l2,grayvalue,90,0.29213483146067415
8,l2,rgb,15,0.5730337078651685
6,l2,dxdy,50,0.3595505617977528
9,intersect,grayvalue,60,0.5168539325842697
10,intersect,grayvalue,120,0.43820224719101125
8,l2,rgb,45,0.38202247191011235
7,l2,dxdy,25,0.38202247191011235
8,l2,grayvalue,115,0.3146067415730337
0,l2,rgb,115,0.3146067415730337
9,chi2,grayvalue,15,0.4044943820224719
1,l2,grayvalue,125,0.30337078651685395
9,chi2,dxdy,150,0.33707865168539325
10,intersect,rgb,45,0.8764044943820225
7,intersect,rgb,75,0.8202247191011236
11,chi2,dxdy,5,0.3146067415730337
8,intersect,rgb,30,0.8089887640449438
12,l2,rg,15,0.5842696629213483
9,l2,rgb,20,0.47191011235955055
10,intersect,grayvalue,115,0.550561797752809
11,chi2,dxdy,150,0.33707865168539325
12,intersect,dxdy,140,0.449438202247191
4,intersect,rgb,115,0.7415730337078652
5,intersect,grayvalue,105,0.5842696629213483
2,intersect,rgb,95,0.8202247191011236
13,intersect,rgb,90,0.7078651685393258
14,l2,dxdy,10,0.34831460674157305
15,chi2,dxdy,30,0.39325842696629215
16,l2,grayvalue,80,0.30337078651685395
17,intersect,grayvalue,140,0.42696629213483145
18,l2,rg,80,0.34831460674157305
19,intersect,rgb,15,0.8764044943820225
13,l2,rgb,110,0.24719101123595505
6,intersect,rgb,100,0.6853932584269663
20,l2,rgb,5,0.6404494382022472
14,intersect,rg,140,0.6853932584269663
15,l2,grayvalue,10,0.43820224719101125
21,intersect,grayvalue,10,0.5056179775280899
7,intersect,dxdy,60,0.5056179775280899
22,chi2,grayvalue,100,0.33707865168539325
8,intersect,grayvalue,15,0.449438202247191
23,l2,rgb,5,0.6404494382022472
9,chi2,dxdy,75,0.39325842696629215
24,intersect,dxdy,35,0.5056179775280899
10,intersect,rg,40,0.7528089887640449
25,chi2,rg,20,0.5730337078651685
26,l2,rg,130,0.3146067415730337
27,intersect,rg,140,0.6853932584269663
11,l2,rgb,60,0.33707865168539325
28,l2,dxdy,95,0.34831460674157305
12,l2,grayvalue,130,0.29213483146067415
29,l2,grayvalue,30,0.4044943820224719
30,chi2,rg,120,0.3258426966292135
31,l2,grayvalue,80,0.30337078651685395
13,l2,rgb,60,0.33707865168539325
11,chi2,rgb,100,0.2808988764044944
12,chi2,rg,75,0.4157303370786517
14,l2,rgb,100,0.2696629213483146
15,chi2,rg,15,0.6292134831460674
16,intersect,grayvalue,35,0.5168539325842697
32,l2,rgb,110,0.24719101123595505
17,intersect,dxdy,15,0.47191011235955055
33,intersect,rg,40,0.7528089887640449
18,intersect,dxdy,130,0.48314606741573035
34,intersect,dxdy,5,0.3146067415730337
19,intersect,rgb,30,0.8089887640449438
35,chi2,rg,95,0.3595505617977528
20,intersect,dxdy,135,0.5056179775280899
21,chi2,rg,150,0.30337078651685395
22,chi2,grayvalue,100,0.33707865168539325
23,intersect,grayvalue,15,0.449438202247191
24,l2,dxdy,110,0.3258426966292135
25,intersect,grayvalue,25,0.48314606741573035
3,chi2,rgb,115,0.3258426966292135
26,intersect,dxdy,120,0.48314606741573035
4,l2,rg,145,0.3595505617977528
10,chi2,rgb,130,0.24719101123595505
5,chi2,rgb,65,0.34831460674157305
11,l2,rg,45,0.4943820224719101
12,chi2,grayvalue,25,0.4157303370786517
6,l2,rgb,40,0.33707865168539325
13,chi2,rg,25,0.5955056179775281
14,chi2,grayvalue,20,0.4157303370786517
7,intersect,dxdy,130,0.48314606741573035
15,intersect,dxdy,95,0.47191011235955055
8,intersect,rgb,55,0.8764044943820225
9,intersect,rg,35,0.8426966292134831
10,chi2,dxdy,115,0.3595505617977528
11,intersect,rg,50,0.7303370786516854
16,intersect,rgb,80,0.7078651685393258
12,l2,rg,60,0.33707865168539325
17,chi2,rg,120,0.3258426966292135
13,l2,dxdy,140,0.3146067415730337
14,l2,rg,35,0.5617977528089888
15,chi2,dxdy,110,0.3595505617977528
36,l2,rgb,150,0.2247191011235955
27,l2,rgb,130,0.23595505617977527
37,l2,rgb,55,0.34831460674157305
16,l2,rgb,70,0.3146067415730337
38,intersect,grayvalue,15,0.449438202247191
17,chi2,grayvalue,90,0.3258426966292135
28,chi2,dxdy,45,0.3707865168539326
18,intersect,grayvalue,10,0.5056179775280899
39,intersect,rgb,50,0.7865168539325843
29,intersect,rg,135,0.7415730337078652
40,l2,dxdy,95,0.34831460674157305
19,chi2,rgb,50,0.33707865168539325
30,chi2,dxdy,115,0.3595505617977528
41,l2,rg,10,0.5842696629213483
31,chi2,dxdy,120,0.3595505617977528
20,chi2,dxdy,125,0.3595505617977528
21,chi2,rg,10,0.5955056179775281
32,l2,rg,125,0.34831460674157305
42,intersect,rgb,55,0.8764044943820225
33,chi2,grayvalue,40,0.39325842696629215
22,l2,rg,150,0.29213483146067415
43,l2,rg,85,0.3707865168539326
34,l2,rg,20,0.48314606741573035
23,l2,grayvalue,55,0.38202247191011235
24,l2,grayvalue,10,0.43820224719101125
44,l2,dxdy,150,0.3146067415730337
25,l2,grayvalue,105,0.3258426966292135
18,l2,rgb,140,0.24719101123595505
19,l2,rg,75,0.38202247191011235
20,l2,grayvalue,80,0.30337078651685395
21,intersect,dxdy,5,0.3146067415730337
22,l2,rg,25,0.5280898876404494
23,chi2,dxdy,35,0.38202247191011235
24,l2,grayvalue,75,0.38202247191011235
25,chi2,grayvalue,90,0.3258426966292135
26,chi2,grayvalue,110,0.33707865168539325
27,intersect,grayvalue,30,0.5056179775280899
26,chi2,rgb,75,0.3146067415730337
27,l2,dxdy,85,0.3595505617977528
28,intersect,grayvalue,5,0.4157303370786517
29,chi2,dxdy,140,0.3595505617977528
30,chi2,dxdy,15,0.39325842696629215
31,l2,grayvalue,135,0.30337078651685395
32,chi2,rg,85,0.38202247191011235
33,chi2,rg,35,0.6067415730337079
34,intersect,grayvalue,75,0.5280898876404494
35,chi2,rgb,95,0.3707865168539326
36,chi2,rg,30,0.47191011235955055
37,l2,grayvalue,125,0.30337078651685395
28,intersect,rgb,120,0.651685393258427
29,l2,dxdy,125,0.3258426966292135
30,l2,dxdy,60,0.34831460674157305
31,l2,grayvalue,105,0.3258426966292135
32,chi2,rg,20,0.5730337078651685
33,chi2,rgb,15,0.651685393258427
45,chi2,rgb,110,0.2696629213483146
38,l2,rgb,100,0.2696629213483146
46,intersect,dxdy,80,0.4943820224719101
39,chi2,rg,55,0.43820224719101125
47,chi2,rg,75,0.4157303370786517
48,intersect,dxdy,60,0.5056179775280899
49,intersect,rg,80,0.6853932584269663
35,chi2,rgb,100,0.2808988764044944
36,l2,dxdy,55,0.34831460674157305
37,intersect,grayvalue,90,0.449438202247191
38,l2,rgb,80,0.29213483146067415
39,chi2,rgb,90,0.30337078651685395
34,chi2,rgb,135,0.29213483146067415
35,intersect,grayvalue,55,0.5168539325842697
40,l2,rgb,125,0.29213483146067415
36,intersect,rg,115,0.7528089887640449
37,l2,grayvalue,100,0.30337078651685395
38,l2,rgb,110,0.24719101123595505
39,intersect,rg,100,0.6741573033707865
41,intersect,rgb,130,0.6404494382022472
40,l2,dxdy,50,0.3595505617977528
42,l2,rg,135,0.34831460674157305
41,l2,rgb,45,0.38202247191011235
43,l2,dxdy,50,0.3595505617977528
44,chi2,grayvalue,105,0.3595505617977528
42,l2,dxdy,125,0.3258426966292135
45,intersect,dxdy,145,0.47191011235955055
40,chi2,rgb,150,0.23595505617977527
46,intersect,dxdy,95,0.47191011235955055
41,intersect,dxdy,145,0.47191011235955055
47,intersect,grayvalue,5,0.4157303370786517
42,l2,grayvalue,105,0.3258426966292135
48,intersect,grayvalue,15,0.449438202247191
43,l2,dxdy,10,0.34831460674157305
49,intersect,dxdy,105,0.4943820224719101
43,intersect,rgb,105,0.797752808988764
44,intersect,dxdy,100,0.5168539325842697
45,chi2,rg,40,0.449438202247191
44,chi2,rgb,20,0.5393258426966292
46,intersect,dxdy,95,0.47191011235955055
45,intersect,dxdy,140,0.449438202247191
47,intersect,grayvalue,35,0.5168539325842697
46,intersect,dxdy,95,0.47191011235955055
47,l2,rgb,150,0.2247191011235955
48,l2,rg,70,0.3258426966292135
49,chi2,rg,15,0.6292134831460674
48,chi2,rgb,130,0.24719101123595505
49,chi2,rg,60,0.38202247191011235
